"restaurantID","name","address","alias","city","cuisine","insertedAtTimestamp","latitude","longitude","numReviews","phone","rating","zip_code"
"XjeGryxde-tQZF_Ewu7NCw","Gamja Tang Tang","[{""S"":""408 Main St""},{""S"":""Fort Lee, NJ 07024""}]","gamja-tang-tang-fort-lee","Fort Lee","korean","2022-03-03 00:43:40.455144","40.85362690593198","'-73.97489940149883","232","'+12014614617","4","07024"
"uaFHoq-a5XqxF-bsOK9_Qg","Real Kung Fu Little Steamed Buns Ramen","[{""S"":""811 8th Ave""},{""S"":""New York, NY 10019""}]","real-kung-fu-little-steamed-buns-ramen-new-york-2","New York","korean","2022-03-03 00:44:19.260454","40.7616286634162","'-73.98688","1065","'+19173882555","3.5","10019"
"IhSVn0TaX8xXb3wcQ-fgcA","Vanessa's Dumpling House","[{""S"":""118A Eldridge St""},{""S"":""New York, NY 10002""}]","vanessas-dumpling-house-new-york-2","New York","chinese","2022-03-03 00:39:46.633849","40.71839","'-73.9917399","2732","'+12126258008","4","10002"
"je92kXXWjANmiN-dfwNapg","Sushi Dojo NYC","[{""S"":""110 1st Ave""},{""S"":""New York, NY 10009""}]","sushi-dojo-nyc-new-york","New York","japanese","2022-03-03 00:43:12.620734","40.7266273498535","'-73.9856719970703","509","'+16466929398","4","10009"
"aSprnLY-6GkMk1cuv0TMeA","Al Di La Trattoria","[{""S"":""248 5th Ave""},{""S"":""Brooklyn, NY 11215""}]","al-di-la-trattoria-brooklyn","Brooklyn","italian","2022-03-03 00:40:37.166436","40.675332643247","'-73.981340475038","916","'+17187834565","4","11215"
"5fRh0bh2HDGYb7Lsms36vQ","China Moon Restaurant","[{""S"":""16 1/2 1/2 Columbia Ave E""},{""S"":""Palisades Park, NJ 07650""}]","china-moon-restaurant-palisades-park","Palisades Park","chinese","2022-03-03 00:39:54.081162","40.8424226","'-74.0010624","31","'+12019456628","3.5","07650"
"cJfbydHniqWsGL2VHVDHEg","Bombay Grill","[{""S"":""8716 3rd Ave""},{""S"":""Brooklyn, NY 11209""}]","bombay-grill-brooklyn-3","Brooklyn","indian","2022-03-03 00:39:29.968820","40.62238","'-74.03183","259","'+17184912500","4","11209"
"rpTW8Ozm8q8kN5RWOYSvFA","Oaxaca Taco De Revolucion","[{""S"":""5-29 46th Ave""},{""S"":""Long Island City, NY 11101""}]","oaxaca-taco-de-revolucion-long-island-city-2","Long Island City","mexican","2022-03-03 00:40:09.231380","40.7475815","'-73.9542618","2","","2.5","11101"
"Rush-YaHg3WkxaVlFiLn-Q","The Cuban","[{""S"":""39-17 Bell Blvd""},{""S"":""Bayside, NY 11361""}]","the-cuban-bayside","Bayside","mexican","2022-03-03 00:40:23.414299","40.76484","'-73.7714817","204","'+13474084559","3.5","11361"
"FXhSEZfIqjMZh4hR0_8jMQ","China Xiang 中国湘","[{""S"":""360 W 42nd Street""},{""S"":""New York, NY 10036""}]","china-xiang-中国湘-new-york-2","New York","korean","2022-03-03 00:44:19.523438","40.7582902125633","'-73.9925113993899","517","'+12129676088","4","10036"
"StFf9fVnAlhwrUWan0C4Ww","Wanisa Home Kitchen","[{""S"":""142 Smith St""},{""S"":""Brooklyn, NY 11201""}]","wanisa-home-kitchen-brooklyn","Brooklyn","chinese","2022-03-03 00:39:54.006241","40.687","'-73.99042","176","'+17185223027","4.5","11201"
"uVfOB37NyYEGRs5FITM-nQ","Leyenda","[{""S"":""221 Smith St""},{""S"":""Brooklyn, NY 11201""}]","leyenda-brooklyn","Brooklyn","mexican","2022-03-03 00:40:07.762548","40.68431","'-73.99197","275","'+13479873260","4","11201"
"0kFP2UiYHoJHx6d9w1ZNhg","El Carrito Rojo","[{""S"":""59 W 19th St  6th Ave""},{""S"":""New York, NY 10011""}]","el-carrito-rojo-new-york","New York","mexican","2022-03-03 00:40:21.606622","40.740340571777736","'-73.9940366581415","21","","3.5","10011"
